DVM,XXCFO_CONVERT_JOBPROPERTIES_XXCFO010A08,,ebs仕訳：移送先フォルダパスからjobpropertiesに変換
Key,DataAccessSet,JournalSource,AccountingBook
/01,SALES-SOB,EBS_リース,SALES-SOB
/02,IFRS-SOB,EBS_リース,IFRS-SOB
/03,SALES-SOB,EBS_在庫管理,SALES-SOB
/04,SALES-SOB,在庫原価振替,SALES-SOB
/05,SALES-SOB,EBS_資産管理,SALES-SOB
/06,IFRS-SOB,EBS_資産管理,IFRS-SOB
/07,SALES-SOB,自販機物件,SALES-SOB
/08,SALES-SOB,実績振替,SALES-SOB
/09,SALES-SOB,EBS_売掛管理,SALES-SOB
/10,SALES-SOB,個別開発,SALES-SOB
/11,SALES-SOB,GL部門入力,SALES-SOB
/12,IFRS-SOB,GL部門入力,IFRS-SOB
/13,SALES-SOB,控除作成,SALES-SOB
/14,SALES-SOB,生産システム,SALES-SOB
